dataset,date,mean,lower_95_hdi,upper_95_hdi
weekly_hard,2024-06-10,306.8278055332872,263.5278905825158,357.44920167225837
weekly_hard,2024-06-17,317.80648806351854,270.7955512706173,369.4725256239224
weekly_hard,2024-06-24,321.29593619365215,275.6784327954214,376.97941838029794
weekly_medium,2024-01-01,194.04812337393355,178.95648333194262,208.99095555732777
weekly_medium,2024-01-08,193.61466036674213,175.2349362200167,212.78646178160935
weekly_medium,2024-01-15,195.930684515643,173.07783678571266,215.63372735897823
weekly_medium,2024-01-22,196.12251625186124,174.74882342393758,219.796111647204
weekly_medium,2024-01-29,197.67223728265847,174.7840862011175,222.91211009532884
weekly_medium,2024-02-05,202.38070854600355,176.0635633753993,227.59688006305026
weekly_medium,2024-02-12,207.7443790854881,182.17288987093156,232.9358501852205
weekly_medium,2024-02-19,214.03413024802435,189.37063693297353,238.92647853847097
weekly_medium,2024-02-26,216.31438353850302,193.18290571984303,240.58166946321998
weekly_medium,2024-03-04,219.26017358230968,195.8112685250276,244.2493238237309
weekly_medium,2024-03-11,224.3091773609795,197.71463514756996,249.11019633356986
weekly_medium,2024-03-18,229.21961409175753,205.3213110733464,257.14851739741704
weekly_medium,2024-03-25,232.75682260210073,207.33899545472661,259.9062205315359
weekly_medium,2024-04-01,231.54059203651525,207.59136128122134,258.38654867386947
weekly_medium,2024-04-08,229.71064697332696,201.8413476272942,256.16354776743765
weekly_medium,2024-04-15,230.38334621734805,204.07505423019708,259.49912358581685
weekly_medium,2024-04-22,230.15743928556898,201.917918638451,259.1637399731618
weekly_medium,2024-04-29,222.81010070610677,194.690684807514,252.12811902199206
weekly_medium,2024-05-06,219.06468800501153,189.9026623023909,250.09472817515322
weekly_medium,2024-05-13,222.0560150702893,193.8559499418341,252.5484941298812
weekly_medium,2024-05-20,227.30810582656383,198.59272691784957,256.6007259485822
weekly_medium,2024-05-27,228.11507667032996,200.8838780689467,257.0998479735364
weekly_medium,2024-06-03,230.45991432815885,204.70487748918623,258.1854197747395
weekly_medium,2024-06-10,231.68675624396982,206.4288014636921,260.2716012252489
weekly_medium,2024-06-17,233.4501976636458,206.19454159117666,262.1977330135941
weekly_medium,2024-06-24,233.75640522799543,204.20410513100745,263.5766567085168
